id,IPAddress,deviceId,deviceOS,lastLoggedVersion,screenName,timeStamp,userId,userType
0tBMqqHIveaKuWUf7SQN,192.168.86.57,4C3EE6AE-C2AF-42C7-BB22-543E8AD21E94,iOS14.1,1.6.0.1,CreateStudentProfile,2020-11-15 05:58:20,00w66n6yCQT6ljA49XmpTwF8cdH3,student
8DuOF3zTfCWWbC4hPeJL,0.0.0.0,CBCA9D33-329D-430C-AD5B-6C90B79D143B,iOS14.2,1.6.0.1,ClaimCompany,2020-12-24 01:08:22,04QBOwAGzWaMLznKnlJoxbeCddu2,company
j9qspqC96PrLGMUbtV2x,0.0.0.0,CBCA9D33-329D-430C-AD5B-6C90B79D143B,iOS14.2,1.6.0.1,CreateCompanyProfile,2020-12-24 01:08:30,04QBOwAGzWaMLznKnlJoxbeCddu2,company
iwN7aP6jklGf28y8LL9T,10.0.0.221,B9F2FE04-1D07-4102-AFDF-78FE6175472E,iOS13.3.1,1.6.0.1,CreateStudentProfile,2020-11-09 20:58:22,0CiLaaQ2x0bLOgZjd2ubgnkdf4G3,student
hrC4CLU2Dsmrs1yjGejN,10.0.0.221,B9F2FE04-1D07-4102-AFDF-78FE6175472E,iOS13.3.1,1.6.0.1,StudentProfile,2020-11-09 21:02:38,0CiLaaQ2x0bLOgZjd2ubgnkdf4G3,student
DsSTRKCubKOifJVpl18W,10.0.0.221,B9F2FE04-1D07-4102-AFDF-78FE6175472E,iOS13.3.1,1.6.0.1,Newsfeed,2020-11-09 21:03:08,0CiLaaQ2x0bLOgZjd2ubgnkdf4G3,student
gODX7FuNJeNf05jT532l,10.0.0.221,B9F2FE04-1D07-4102-AFDF-78FE6175472E,iOS13.3.1,1.6.0.1,Menu,2020-11-09 21:03:18,0CiLaaQ2x0bLOgZjd2ubgnkdf4G3,student
iw3JF9qywhtySnqogxJm,192.168.0.202,2BDFCE3E-5DF5-4230-BE58-8ADC3A47EF3A,iOS13.6,1.7.0.1,CreateStudentProfile,2020-12-18 17:57:00,0pt491pQgAUnooqCeGCDndza7Zs2,student
nFlChlbyzPrMlb3hnyW8,192.168.0.10,EEA34BFA-7EE7-4925-9808-16D8C01B883E,iOS13.6.1,1.6.0.1,DiscoverCompanies,2020-12-01 02:35:43,0rC7jj2reNTi61XoThLVqC2Ricp1,student
78zq5DEMGxHttb6v35ik,192.168.0.10,EEA34BFA-7EE7-4925-9808-16D8C01B883E,iOS13.6.1,1.6.0.1,Messages,2020-12-01 02:35:46,0rC7jj2reNTi61XoThLVqC2Ricp1,student
IciyVKY4NyRmBBqshwXX,192.168.0.10,EEA34BFA-7EE7-4925-9808-16D8C01B883E,iOS13.6.1,1.6.0.1,Chat,2020-12-01 02:35:48,0rC7jj2reNTi61XoThLVqC2Ricp1,student
DMXuGQ55ff6B0hiSQCl4,192.168.0.10,EEA34BFA-7EE7-4925-9808-16D8C01B883E,iOS13.6.1,1.6.0.1,Messages,2020-12-01 02:35:51,0rC7jj2reNTi61XoThLVqC2Ricp1,student
SlOx2ffRJ79FqRzHlrbY,192.168.0.10,EEA34BFA-7EE7-4925-9808-16D8C01B883E,iOS13.6.1,1.6.0.1,Chat,2020-12-01 02:35:53,0rC7jj2reNTi61XoThLVqC2Ricp1,student
jXqhbN3nbTZv3xfuOWEj,192.168.0.10,EEA34BFA-7EE7-4925-9808-16D8C01B883E,iOS13.6.1,1.6.0.1,Messages,2020-12-01 02:36:05,0rC7jj2reNTi61XoThLVqC2Ricp1,student
IvHJKSaQzG8S10Sj41uM,192.168.0.10,EEA34BFA-7EE7-4925-9808-16D8C01B883E,iOS13.6.1,1.6.0.1,Chat,2020-12-01 02:36:06,0rC7jj2reNTi61XoThLVqC2Ricp1,student
